TIPO,OBSERVACION
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pago de S/.65.00 nuevos soles al PNH para 30 días de permanencia. Extranjero S/. 30.00 Nacional S/.15.00 Local S/. 5.00
Semi-restringido(previo permiso),El ingreso está supeditado a la disponibilidad de las madres Benedictinas. Los visitantes se deberán anunciarse en la portería para la autorización de la madre superior o al teléfono (073) 377271.
Libre#Otros (especificar),"#En caso de eventos privados, es previa verificación de lista de invitado o ticket"
Libre,
,
Libre,
Semi-restringido(previo permiso),Es necesario solicitar autorización dado el deterioro del Templo. Telfeno de la parroquia santa rosa 066634345
Libre,En horario de misa.
Libre,El templo permanece abierto todo el dia.
Semi-restringido(previo permiso),Previa coordinación con el padre Julián Feliciano . celular 966160867.
Libre,
,
Libre,Se recomienda hacer la visita entre los meses de junio a diciembre.
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Niños y estudiantes S/2.00, Adultos y extranjeros S/5.00. El costo de ingreso incluye la visita a las Aguas Sulfurosas de Oromina."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Turistas Extranjeros y Nacionales: Adultos S/ 10.00 Soles y Niños S/ 8.00 Soles Locales: S/ 5.00 Soles
Semi-restringido(previo permiso),Los visitantes reservan su ingreso y orientación con el area de turismo de la municipalidad distrital de Soritor. Con 24 horas de anticipación.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto S/ 2.00- Niño S/ 1.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo de ingreso: S/10.00 Estudiantes: S/5.00 niños menores de 12 años no ingresan a las áreas de proceso y elaboración, de 13 a 17 años con autorización de un adulto. Horario: 8am - 12m"
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","La Bodega cuenta con 10 tours diferentes, por ello los costos de ingreso varían. para mayor información contactarse al siguiente número de celular: 997 542 481."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto: 4 soles; niños: 2 soles y escolares: 1 soles.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto: 8 soles, niños: 4 soles"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto: 10 soles, niños: 5 soles"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto general: S/. 2.00, Estudiante S/. 1.00"
Semi-restringido(previo permiso),"Previa coordinación con los Centros de Manejo Picotani, Cala Cala y Cambria"
Libre,En coordinación con el párroco de Capachica; Sr. Ever Ali Ramos.
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/4.00 Niños S/ 2.00 Información actualizada a la fecha.
,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Parque Nacional Huascarán (El costo de ingreso para visitantes extranjeros es de S/. 30.00, para nacionales S/. 12.00 y para locales S/. 5.00)."
,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/.30.00 Nacional Adulto S/. 12.00 Niños (5 a 16 años )S/. 5.00 Nacionales (Menores de 5 años y Mayores de 65 años no pagan)
,
Libre,
,
,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo de boleto: Adultos S/ 3.00 - Niños S/ 1.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada General S/. 8.00 -Estudiantes universitarios o técnicos S/. 3.00 -Adultos mayores de 60 años, personas en servicio militar voluntario y profesores S/. 4.00 Gratis menores de edad y personas co"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Esta incluido dentro del Boleto Turistico del Colca, Extranjeros S/. 35.00; Nacionales S/. 17.50, Estudiantes y Niños S/. 3.50"
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Comunicarse vía teléfono o enviar oficio a APROBOC dando a conocer el motivo y las personas que irán, dirigido a Eli Peicles Coronel Mezones, telef. 947047487/e-mail: aprobocelbreo@hotmail.com"
Semi-restringido(previo permiso),"Previa coordinación con 24 horas de anticipación, con la Asociación Civil para la Promoción del Ecoturismo Nikolov Pioneros, al teléfono 918 918 651. Costo en entrada general: S/ 10. 00"
Semi-restringido(previo permiso),"Se debe solicitar permiso de ingreso en la Asociación Civil para la Promoción del Ecoturismo Nikolov Pioneros del Rio Abiseo – Juanjui al 918918651 / 942656802, con 24 horas de anticipación."
Libre,Previo registro al ingreso del sitio
Libre,Se recomienda en los horarios de 6:00 am a 3:00 pm
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Para recorrido a Islas previo pago en la plataforma de embarque del muelle 1sol, Zoocriadero 3.5 soles, Centro de interpretacion 2 soles."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Boleto extranjero, Nacional o local S/. 2.0 soles"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Nacionales o Extranjeros Adultos: S/ 20 Estudiantes: S/ 10 niños menores de 9 años no pagan Cusqueños entrada libre presentando DNI
Libre,En horas de Culto religioso de 8:00 a.m. a 7:00 p.m.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adquirir el boleto de ingreso en el local de la Asociación de Turismo. Costo: entrada general S/ 10.00 niños/estudiantes S/ 5.00
Libre,
Libre,
Libre,
Libre,
Libre,Se da un aporte económico voluntario al entrar.
Libre,
Semi-restringido(previo permiso),Coordinar con el Padre Genaro Huamán s. cel: 965070303
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Boleto único de Ingreso extranjero y Nacional. S/. 10.00,"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Incluido dentro del boleto turístico Cusco parcial III. (BTCPIII): • Peruanos: s/. 40 • Extranjeros: s/. 70 • El boleto es gratis para niños menores de 9 años • Cusqueños previa presentación de DNI.
Semi-restringido(previo permiso),Comunicarse con el Párroco : Genaro Huamán Huayllapuma N° de Celular : 965070303
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Otros (especificar)","Previa presentación de boleto o ticket Tarifas: Nacionales: S/10.00 Extranjeros: S/18.00 Estudiantes: S/10.00#Cusqueños o residentes en Cusco (mostrando su DNI): Gratuito Niños hasta 10 años no pagan El boleto sirve para ingresar a tres templos: Templo San Pedro Apóstol de Andahuaylillas, Templo San Juan Baut"
Semi-restringido(previo permiso),Previa presentación de boleto o ticket Tarifas: Nacionales: S/10.00 Extranjeros: S/18.00 Estudiantes: S/10.00 Cusqueños o residentes en Cusco (mostrando su DNI): Gratuito Niños hasta 10 años no pag
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",TARIFARIO: POZA PRIVADA: S/6.00 PISCINA SEMI OLIMPICA: S/5.00 PISCINA MEDIANA: S/4.00 PISCINA PARA NIÑOS: S/2.00 DUCHAS: S/2.00
Libre,De Lunes a viernes.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: S/.5 - Estudiantes de educación superior: S/.2 - Docentes y Adulto Mayor: S/.2.50 - Escolares y menores de 18 años: gratis - Guiado: S/.20
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",-Adulto nacional: S/ 6.00; Niño nacional: S/ 3.00 -Adulto local: S/ 4.00; Niño local: S/ 2.50
Semi-restringido(previo permiso),Previa coordinación con el Arqueólogo Ernesto Lázaro . Celular : 992940678
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifas: De 5 a 10 años: s/. 4.00 De 11 años a más: s/. 5.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general: S/ 1.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Público general: S/ 2.00
Libre,
Libre,
Libre,
Libre,
Libre,Zona pública disponible todos los días las 24 horas
Libre,De Lunes a Sábado de 08:00 am a 05:00 pm. Servicios gratuitos.
Libre,
Libre,
Libre,
Libre,Se recomienda dejar un óbolo al ingreso
Libre,
Libre,
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Pago de 1 Día, general S/30, nacional adulto S/.12, menor S/5, De 2 a 3 días, general S/60, nacional adulto S/.30, menor S/15, De 4 a 30 días, general S/150, nacional adulto S/.75, menor S/35."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa : Pozas Publicas 32° 36° 38°: S/. 10.00
Semi-restringido(previo permiso),"Permiso con 15 dias de anticipación pncutervo@sernanp.gob.pe, Liz Gamonal Sánchez, Cel 942053456"
Semi-restringido(previo permiso),"Permiso con 24 horas de anticipación mediante documento, indicando nombres N° DNI y motivo de visita, dirigido al Sr. Víctor Macedo Cuenca, Jefe del PNRA, cel. 968218437"
Semi-restringido(previo permiso),"Enviar una solicitud de visita al área con 15 días de anticipación al Blgo. Fredi A. Abanto Terrones, jefe de la Reserva Nacional de Calipuy. Correos: fabanto@sernanp.gob.pe fredyabrahamabant"
Libre,
,
Semi-restringido(previo permiso),Contactarse con el Sr. Miguel Mosquera Terrones - 992162223
Libre,"Es un recurso de acceso libre, al tratarse de un espacio público abierto a la comunidad y visitantes."
Libre,Se recomienda llamar al 968218461
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","General: S/ 10.00 - Reducida: S/ 5.00 , menores de edad, Adultos( 65), Conadis y estudiantes de nivel superior. - Grupos ( 50 estudiantes): S/ 4.00.-Gratuito: Lic. en turismo, G.O.T. y docentes"
Libre,
Semi-restringido(previo permiso),Autorizacíon del SERNANP
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Otros (especificar)","Ingreso: Extranjero 30 soles, Nacional Adulto 11 soles, nacional niños (5-16 años) 5 soles, Locales Adultos 5 soles, Locales niños 3 soles Adquisición de entradas: Calle Jorge Chavez 930#Exoneración de pagos de derecho de ingreso a guías oficiales de turismo y a personas con discapacidad que presenten la acreditación respectiva"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada General: S/. 15; Niños: S/.8; Adultos Mayores: S/. 4; Personas con Discapacidad: Gratis. Considerando el ingreso por el Parque de las Leyendas
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos: S/. 6.00; Estudiantes de educación superior, adulto mayor, docentes y militares: S/. 3.00; Escolares, menores de edad y discapacitados: ingreso libre. Ingreso libre cada 1er domingo de mes."
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Nacionales: S/ 10.00 Escolares: S/5.00 Adulto mayor: S/ 5.00 Extranjeros: S/. 15.00
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: S/10.00 Niños y estudiantes: S/06.00 Personas adultas mayores: S/06.00 Personas con CONADIS: Gratis Comunidad URP: Gratis
Libre,Llevar sombrero y bloqueador durante el verano
Libre,
Otros (especificar),"Ingreso restringido, por el momento solo se visita y se aprecia desde afuera."
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Previa coordinacion con Billy Gamboa tlf. 930886020, encargado de la Reserva Nacional Sistema de Islas, Islotes y Puntas Guaneras - SERNANP"
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/. 30.00 Adulto Nacional S/. 15.00 Locales Adulto S/. 5.00 Niños S/. 3.00 Nacionales (Menores de 5 años y Mayores de 65 años no pagan) Niños de 5 a 16 años pagan S/. 5.00
Libre,
,
,
,
,
,
,
,
Libre,
Libre,
Libre,
Libre,Zona pública disponible todos los días las 24 horas
Libre,"Para el ingreso, se solicita a la cuidadora Sra. Norma García, que se encuentra permanentemente en la casa que está a un costado de la Capilla."
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Actualmente el costo del ticket es de 3 soles por posa y el tiempo de uso es de 30 min.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La tarifa es adultos y/o niños: Tina personal: s/. 7.00 Pareja: s/.10.00 Piscina: S/. 3.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La tarifa es adultos y/o niños: Tina personal: s/. 7.00 Pareja: s/.10.00 Piscina: S/. 3.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Nacional s/.5.00; Extranjero s/.10.00; Local es libre. Contacto:Sr. Jhon Kenedy Milian Nuñez Celular 929744901
,
,
Libre,
Semi-restringido(previo permiso),Previa coordinación al teléfono 073-285670 y con DNI
,
,
,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pago de s/.20.00 a la Comunidad Campesina de Llamac / Pocpa.
,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifas de ingreso: Extranjero S/. 10.00; nacionales adulto S/. 5.00; nacionales niños y estudiantes S/. 3.00
Libre,
Semi-restringido(previo permiso),De 8 a.m.-2 p.m. Las Agencias de viajes y Turismo realizan las coordinaciones con embarcaciones.
Libre,
Libre,
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","COCACHIMBA:-Menores(5-17años),adultos mayores(65 años a más) y Universitarios S/10.00. -Adultos(18-64 años) S/15.00. SAN PABLO:-Niños S/8.00. -Adultos S/15.00.-Universitarios y estudiantes S/10.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingresos al santuario nacional bosque de rocas de Huayllay. Recorrido 1: Adultos 2.00 soles Niños 1.00 sol Recorrido 2: Adultos 2.50 soles Niños no pagan 5.00 soles por vehículo
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Otros (especificar)",-Adultos: S/. 20; -Niños: S/. 5; -Escolares: S/. 8; -Adulto Mayor: S/. 10; -Universitarios: S/. 13; -Extranjeros: S/. 30; -CONADIS: S/. 5#-Guiado especializado en aves: S/. 50; -Guiado bilingüe (inglés): S/. 50
,
Libre,
Semi-restringido(previo permiso),"Previa reserva con la Asociación ADECARAM, al teléfono 942 958 538."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",En cobro se realiza en Tinke: la tarifa es de 10 soles.
,
Libre,
Libre,
Libre,Se recomienda ir con un guía local o por medio de un operador turístico que conozca el recorrido al recurso turístico.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Incluido en el Circuito Religioso del Cusco Adultos S/30, Estudiantes S/ 15"
Semi-restringido(previo permiso)#Libre,"Previa autorización del parroco, Pbro. Daniel Huallparimachi Huamán / 948779963#Horario de Culto"
Libre,
Semi-restringido(previo permiso),Previa coordinación con el párroco o monjas
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","adultos S/.2.00, niños S/.1.00"
Semi-restringido(previo permiso),"Coordinar con Sr. Marcos Apaza Alejo, cel. 952058670"
Libre,Extranjeros s/ 5.00 soles Nacionales y locales s/ 1.00
,
Libre,
Libre,
Libre,Sin restricciones
Libre,
Libre,
Libre,
Libre,
Libre,El ingreso es libre sin embargo si se desea el servicio de guiado tiene un costo adicional de S/2.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: s/. 8.00 Especial (niños de 5 a 12 años y Universitarios) s/.5.00 Estudiantes en grupo: s/. 4.00
Libre,
Semi-restringido(previo permiso),Previo permiso de SERNANP a través de: 1. Correo institucional: pncerrosdeamotape@sernanp.gob.pe 2. Número de contacto: 997 014 752 Esp. Leidy Valle. 3. En el puesto de control del sector.
Libre,Agencia Bancaria
Libre,
Libre,
Libre,Todo el día
Libre,Previa coordinación con las autoridades de la comunidad campesina de Quelcaya.
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Permiso a la Gerencia General del PEOT, con un mes de anticipación, adjuntar lista de visitantes (nombres completos, número DNI, fecha de nacimiento) y una declaración jurada. Ca. Las Violetas 148-Ch"
Libre,
"Semi-restringido(previo permiso)#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Previa llamada telefónica; al 074-433194 ó 978836377#Entrada general S/ 10.00 Costo de guiado 60.00 x grupos de hasta 10 personas. Contamos con 2 tipos de visita: Full Day y con Pernocte. El ingreso es previa reserva y contar con un guía local.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre#Otros (especificar)",Adultos: S/ 10.00; Universitarios: S/ 4.00; Niños: S/.1.50; Tarifa especial: 5.00#Para personas con discapacidad y residentes del C.P. Huaca Rajada Sipán (Previa Presentación de DNI) según TUSNE del Ministerio de Cultura 2022#Parqueo S/. 2.0
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ruta Integral: Adultos en general: 12 soles. Estudiantes de educación superior universitaria y no universitaria: 5 soles. Menores de edad: 1.5 soles. Consultar por las tarifas especiales.
,
Libre,
Libre,
Libre,
,
Libre,
Libre,Cuando hay celebraciones religiosas
Libre,Lunes a Domingo
Libre,
Semi-restringido(previo permiso),Coordinar con las autoridades de la comunidad campesina de Quelcaya.
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",-Niños: s/.1:00 -Adultos: s/. 2.00
Libre,Barrio tradicional
,
Libre,
Libre,
Libre,
Libre,En coordinacion con la comunidad
Libre,
Libre,
Libre,
Libre,Permanece abierto a partir de las 7.00 am a 12 m.
Libre,
,
Libre,
Libre,Las 24 horas del dia
Libre,Todo el día
,
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo de Ingreso General S/ 1.00 (un sol) por persona sea adulto o niño.
Libre,
Semi-restringido(previo permiso),"No se paga por el ingreso, pero se debe coordinar la disponibilidad del espacio, aforo y recorrido con el Responsable del museo, el Sr. Abraham Picoy - Num: 963652794."
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",El pago es de s/. 2.00 en general.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/5.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","S/. 10.00 Adultos, S/. 5.00 Niños"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto S/. 7.00 Estudiante S/. 5.00 Niños S/. 2.00
Libre,Se recomienda contactar al Sr. Alfonso Delgado. Cel 931547604; visita guiada.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La tarifa general es de S/. 2.00 Nuevos Soles.
Semi-restringido(previo permiso),"Previa coordinación con el guardián, teléfono 967669958"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",INGRESO: NIÑOS Y ADULTOS 1.00 PISCINA: NIÑOS Y ADULTOS 2.00 POZA PRIVADA: 5.00 GENERAL
,
,
,
,
Semi-restringido(previo permiso),"Solicitar el ingreso a las sra Ema Bernuy, catequista de la Iglesia Católica de Vicco. Celular: 963 688 929"
Libre,
Libre,
Libre,
,
Libre,
Libre,
Libre,
Libre,Coordinar con las autoridades del centro poblado de Aymaña
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo de ingreso: S/ 3.00 | Los tickets se adquieren en la Casa del Turista Onercocha, ubicada en el caserío Paraíso del Alto Mayo."
,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",S/. 10.00 Comunidad de Pampas Chico
Libre,
Libre,Horarios de L a V : 9:00 A 5:00 PM SABADOS Y DOMINGO CERRADO
Libre,
,
Libre,
Libre,Los Humedales se observan desde los Miradores existentes en la zona
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Previo permiso de la autoridad encargada, Adultos pagan S/. 20.00 soles niños S/. 15.00 soles, escolares S/.10.00(previa coordinación con el colegio)."
Libre,Las playas tienen libre acceso
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",
,
,
,
Otros (especificar),Con presentacin de boleto para el escenario preferencial y libre en la parte exterior
Libre,
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",El ingreso a Siete Tinajas es previa presentación de ticket de entrada por cualquiera de los 02 accesos de las Familias Serrano o Familia Quispe. La tarifa es de 2.00 soles por persona adulta y 1.00
Semi-restringido(previo permiso),Coordinar con el encargado para la visita 920528962
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada General S/60.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifas: Turista nacional: S/8.00 Turista nacional niño: S/4.00 Turista extranjero: S/15
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa General: 3 soles
Semi-restringido(previo permiso),Previa comunicación con el encargado de la comisión de vicuñas.
Libre,
Libre,LLevar medidas de protección solar
Semi-restringido(previo permiso),Previa autorización de la comunidad de Tintinco/ Javier Huilca 926122218
Libre,
Libre,
,
,
Semi-restringido(previo permiso),Previa autorización de la comunidad de Yaucat días sin actividades programadas / Luis Auquille 935010641
,
,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo del boleto s/.5.00 soles entrada general.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa General S/2.00
,
,
,
Libre,
Libre,
Semi-restringido(previo permiso),Previa autorización de la comunidad de Paropucjio / Carlos Chino 997278701
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Turista extranjero o nacional S/. 5.00 soles y visitante local S/. 2.00
Libre,
Libre,
Libre,De lunes a domingo
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero: S/20.00 soles Nacionales: S/10.00 soles Local DNI : S/ 5.00 soles
,
Libre,"8:30 a. m. - 5:00 p.m. con registro de flujo de visitantes: teléfono: 959435470, Responsable de Turismo, Ingreso para personas sin impidimento física (caminata moderada en la zona)."
Libre,
,
Libre,
Libre,
,
Libre,
,
Libre,
Libre,
Libre,
Libre,Todo el dia
Semi-restringido(previo permiso),Previa autorización de la comunidad de Mocoraise/ Pedro Lima 931629039
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos (8 años a más): 5 soles, niños (5 a 7 años): 2.5 soles, menores de 5 años no pagan."
Semi-restringido(previo permiso),"Previa coordinación con la Presidenta de Servicios turisticos Santa Rosa de Quives Valle Chillon Sra.Flor Elena Alzamora Aranguren , Celular : 991179122"
Semi-restringido(previo permiso),Para el acceso al recurso turístico se debe solicitar una autorización de ingreso a la Jefatura del Santuario Nacional Megantoni. Mariana Salazar SERNAP al 937513240
,
Libre,
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos mayores ( Nacionales, mayores de 65 años) , Personas con Discapacidad y Niños Menores de 5 años (Gratuito).#Tarifa: Extranjeros s/. 25.00 Estudiantes Extranjeros S/ 13.00 Nacionales S/ 5.00 Universitarios y Escolares S/3.00 Delegación Escolar por Estudiante S/ 2.00 Propina voluntaria al guía."
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,Existe un aporte voluntario de S/. 5.00
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Se debe realizar un pago, costo adultos 2.00 y niños 1.00"
,
Libre,
,
,
Libre,Realización de misas
Libre#Semi-restringido(previo permiso),"El ingreso para el la iglesia de acuerdo al horario#Para ingresar al convento se solicita permiso verbal en el área de administración de la parroquia, indicando el motivo. Restringido para el segundo piso del convento."
Libre,Coordinar con el Sr. Maximo Flores Flores (tripulante) 995253004 / Antonia Quispe Cahuana (tripulante) 951524988 Se puede dejar un obolo luego de la visita.
Semi-restringido(previo permiso),Previa inscripción en Visitas Guiadas Mensuales Gratuitas realizadas por la Municipalidad de Lurín. 20 personas por visita. Inscripciones: Subgerencia de Turismo turismo@munilurin.gob.pe 941553906
,
Libre,
,
,
Libre,
,
,
,
Libre,
Libre,Se recomienda llevar repelente y bloqueador solar.
Libre,
,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Se debe pedir permiso al presidente de la comunidad o secretario comunicarse al siguiente numero: 961551855 - 980151245
,
Semi-restringido(previo permiso),Previa coordination con la comunidad
,
,
,
Libre,
Libre,
Libre,
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa única S/ 2.00
Libre,
Libre,
,
,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Las comunidades campesinas realizan cobros por cada campamento de entre S/.10.00 y S/.30.00 nuevos soles por turista extranjero.
Libre,
,
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Parque Nacional Huascarán (El costo de ingreso para visitantes extranjeros es de S/. 30.00, para nacionales S/. 12.00 y para locales S/. 5.00)."
Libre,
,
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",#Entrada Adulto S/ 5.00 y estudiante S/ 3.00
Libre,
Semi-restringido(previo permiso),Previa coordinación con el propietario al celular: 959610435 (Carlos Puertas)
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Cuando se usa los servicios como restaurante#Costo único del boleto S/ 3.00
Libre,
Libre,
Libre,
Libre,
,
Libre,Recomendable la visita con el orientador local.
,
Semi-restringido(previo permiso),Previa coordinación con la comunidad de Ichucullo
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifas establecidas por el SERNANP para un día S/. 30.00 extranjeros, S/. 12.00 nacionales; y para dos a tres dias: S/. 60.00 extranjeros y S/. 30.00 nacionales"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingreso General S/. 10.00 Servicio de guiado nacional y extranjero por pax es de S/. 50.00 Servicio de guiado locales por 5 pax total S/. 100
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingreso General S/. 10.00 Servicio de guiado nacional y extranjero por pax es de S/. 50.00 Servicio de guiado locales por 5 pax total S/. 100
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 3.00 Estudiantes universitarios y no universitarios S/. 2.00 Escolares S/.1.00
Libre,
Libre#Otros (especificar),Todo el día#Se recomiemda contactar con la Asociación de Turismo Rural Comunitario Cuyaqui Wayi
